SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Multi-Family (2-4 Unit),14811 Washburn St,Detroit,MI,48238,128500,4,2.0,GRIFFINS WYOMING,2464,3485,1928,78,52,,Active,,,https://www.redfin.com/MI/Detroit/14811-Washburn-St-48238/home/98379790,REALCOMP,20251013605,N,Y,42.3981471,-83.1607858
MLS Listing,,Multi-Family (2-4 Unit),16882 Stoepel St,Detroit,MI,48221,169000,4,2.0,Detroit,,4356,1927,1,,,Active,,,https://www.redfin.com/MI/Detroit/16882-Stoepel-St-48221/home/98372462,REALCOMP,81025050979,N,Y,42.4158845,-83.141601
MLS Listing,,Multi-Family (2-4 Unit),16736 Woodingham Dr,Detroit,MI,48221,180000,4,3.0,THE GARDEN ADD 2,1868,3485,1928,1,96,,Active,,,https://www.redfin.com/MI/Detroit/16736-Woodingham-Dr-48221/home/61347561,REALCOMP,20251042054,N,Y,42.4155238,-83.1498029
MLS Listing,,Multi-Family (2-4 Unit),3322 Webb St,Detroit,MI,48206,215000,6,3.0,WEBB AVENUE SUB (PLATS),3312,4792,1924,2,65,,Active,,,https://www.redfin.com/MI/Detroit/3322-Webb-St-48206/home/98347776,REALCOMP,20251041198,N,Y,42.3801696,-83.1227801
MLS Listing,,Multi-Family (2-4 Unit),"5510, 5512 Whitfield St",Detroit,MI,48204,225000,6,2.0,DAILEY PARK SUB (PLATS),4300,4356,1920,2,52,,Active,,,https://www.redfin.com/MI/Detroit/5510-Whitfield-St-48204/home/98469626,REALCOMP,20251041826,N,Y,42.3622482,-83.1345137
MLS Listing,,Multi-Family (2-4 Unit),3825 Waverly St,Detroit,MI,48238,175000,6,3.0,Wayne,,3485,1929,3,,,Active,,,https://www.redfin.com/MI/Detroit/3825-Waverly-St-48238/home/58668818,REALCOMP,81025050390,N,Y,42.3881088,-83.1325866
MLS Listing,,Multi-Family (2-4 Unit),17201 Quincy St,Detroit,MI,48221,150000,4,2.0,KEANS SUB OF SW 1/4 OF SW 1/4 OF SEC 10,1956,3920,1928,3,77,,Active,,,https://www.redfin.com/MI/Detroit/17201-Quincy-St-48221/home/61347505,REALCOMP,20251041778,N,Y,42.4186718,-83.1391451
MLS Listing,,Multi-Family (2-4 Unit),17331 Quincy St,Detroit,MI,48221,135000,4,2.0,KEANS SUB OF SW 1/4 OF SW 1/4 OF SEC 10,1954,3485,1928,3,69,,Active,,,https://www.redfin.com/MI/Detroit/17331-Quincy-St-48221/home/61344246,REALCOMP,20251041747,N,Y,42.4195122,-83.1391637
MLS Listing,,Multi-Family (2-4 Unit),2025 Calvert St,Detroit,MI,48206,210000,6,3.0,Detroit,2872,4792,1922,4,73,,Active,,,https://www.redfin.com/MI/Detroit/2025-Calvert-St-48206/home/98444145,REALCOMP,81025050219,N,Y,42.3818681,-83.106005
MLS Listing,,Multi-Family (2-4 Unit),2203 Fullerton St,Detroit,MI,48238,225000,8,4.0,ROBT OAKMANS ALTA VISTA SUB,3891,4356,1918,4,58,,Active,,,https://www.redfin.com/MI/Detroit/2203-Fullerton-St-48238/home/98334235,REALCOMP,58050190018,Y,Y,42.3908044,-83.1124782
MLS Listing,,Multi-Family (2-4 Unit),2469 Ford St,Detroit,MI,48238,165000,4,2.5,ROBERT OAKMANS TWELFTH ST,3600,3485,1925,5,46,,Active,,,https://www.redfin.com/MI/Detroit/2469-Ford-St-48238/home/61348640,REALCOMP,20251040981,N,Y,42.396412,-83.1222545
MLS Listing,,Multi-Family (2-4 Unit),17133 Monica St,Detroit,MI,48221,274000,4,2.0,Detroit,,8712,1928,5,,,Active,,,https://www.redfin.com/MI/Detroit/17133-Monica-St-48221/home/61346824,REALCOMP,81025049903,N,Y,42.4176996,-83.1443317
MLS Listing,,Multi-Family (2-4 Unit),15895 Cloverlawn St,Detroit,MI,48238,125000,4,3.0,UNIVERSITY MANOR,1973,3485,1928,5,63,,Active,,,https://www.redfin.com/MI/Detroit/15895-Cloverlawn-St-48238/home/98476374,REALCOMP,20251040760,N,Y,42.4093166,-83.1528479
MLS Listing,,Multi-Family (2-4 Unit),17180 Kentucky St,Detroit,MI,48221,170000,4,2.0,AURORA PARK SUB,1971,3920,1928,7,86,,Active,,,https://www.redfin.com/MI/Detroit/17180-Kentucky-St-48221/home/98477891,REALCOMP,20251040081,N,Y,42.4181617,-83.1590189
MLS Listing,,Multi-Family (2-4 Unit),1931-1939 Ewald Cir,Detroit,MI,48238 3822,149900,,2.0,R Oakmans Ford Hwy & Dexter Blvd,2704,3049,1945,9,55,,Active,,,https://www.redfin.com/MI/Detroit/1931-Ewald-Cir-48238/home/98348413,MiRealSource-MiMLS,60939810,N,Y,42.3952628,-83.1294574
